Date;Day;Week;Month;Division;Actual Cost ($);Target Overage vs Budget %;Allocated Budget ($);Variance ($);Variance %
2025-02-11;Tuesday;Week 7;Month 2;AI Engineering;$0,80;7,00%;$0,74;$0,05;7,00%
2025-02-11;Tuesday;Week 7;Month 2;Business Analytics;$1,45;4,00%;$1,40;$0,06;4,00%
2025-02-11;Tuesday;Week 7;Month 2;Data Engineering;$8,16;5,50%;$7,73;$0,43;5,50%
2025-02-11;Tuesday;Week 7;Month 2;Platform / Cloud Operations;$0,41;6,00%;$0,39;$0,02;6,00%
2025-02-11;Tuesday;Week 7;Month 2;Product Engineering;$53,30;5,00%;$50,76;$2,54;5,00%
2025-02-12;Wednesday;Week 7;Month 2;AI Engineering;$6,73;7,00%;$6,29;$0,44;7,00%
2025-02-12;Wednesday;Week 7;Month 2;Business Analytics;$49,67;4,00%;$47,76;$1,91;4,00%
2025-02-12;Wednesday;Week 7;Month 2;Data Engineering;$7,60;5,50%;$7,21;$0,40;5,50%
2025-02-12;Wednesday;Week 7;Month 2;Platform / Cloud Operations;$15,06;6,00%;$14,21;$0,85;6,00%
2025-02-12;Wednesday;Week 7;Month 2;Product Engineering;$1,79;5,00%;$1,70;$0,09;5,00%
2025-02-13;Thursday;Week 7;Month 2;AI Engineering;$1,14;7,00%;$1,07;$0,07;7,00%
2025-02-13;Thursday;Week 7;Month 2;Business Analytics;$40,32;4,00%;$38,77;$1,55;4,00%
2025-02-13;Thursday;Week 7;Month 2;Data Engineering;$22,97;5,50%;$21,77;$1,20;5,50%
2025-02-13;Thursday;Week 7;Month 2;Platform / Cloud Operations;$35,22;6,00%;$33,23;$1,99;6,00%
2025-02-13;Thursday;Week 7;Month 2;Product Engineering;$2,04;5,00%;$1,95;$0,10;5,00%
2025-02-14;Friday;Week 7;Month 2;AI Engineering;$14,78;7,00%;$13,81;$0,97;7,00%
2025-02-14;Friday;Week 7;Month 2;Business Analytics;$43,49;4,00%;$41,82;$1,67;4,00%
2025-02-14;Friday;Week 7;Month 2;Data Engineering;$43,78;5,50%;$41,50;$2,28;5,50%
2025-02-14;Friday;Week 7;Month 2;Platform / Cloud Operations;$0,87;6,00%;$0,82;$0,05;6,00%
2025-02-14;Friday;Week 7;Month 2;Product Engineering;$18,44;5,00%;$17,56;$0,88;5,00%
2025-02-15;Saturday;Week 7;Month 2;AI Engineering;$5,28;7,00%;$4,93;$0,35;7,00%
2025-02-15;Saturday;Week 7;Month 2;Business Analytics;$51,43;4,00%;$49,45;$1,98;4,00%
2025-02-15;Saturday;Week 7;Month 2;Data Engineering;$9,92;5,50%;$9,40;$0,52;5,50%
2025-02-15;Saturday;Week 7;Month 2;Platform / Cloud Operations;$11,47;6,00%;$10,82;$0,65;6,00%
2025-02-15;Saturday;Week 7;Month 2;Product Engineering;$2,69;5,00%;$2,56;$0,13;5,00%
2025-02-16;Sunday;Week 7;Month 2;AI Engineering;$52,79;7,00%;$49,34;$3,45;7,00%
2025-02-16;Sunday;Week 7;Month 2;Business Analytics;$15,02;4,00%;$14,44;$0,58;4,00%
2025-02-16;Sunday;Week 7;Month 2;Data Engineering;$55,16;5,50%;$52,29;$2,88;5,50%
2025-02-16;Sunday;Week 7;Month 2;Platform / Cloud Operations;$1,69;6,00%;$1,60;$0,10;6,00%
2025-02-16;Sunday;Week 7;Month 2;Product Engineering;$53,12;5,00%;$50,59;$2,53;5,00%
2025-02-17;Monday;Week 8;Month 2;AI Engineering;$2,95;7,00%;$2,76;$0,19;7,00%
2025-02-17;Monday;Week 8;Month 2;Business Analytics;$4,88;4,00%;$4,69;$0,19;4,00%
2025-02-17;Monday;Week 8;Month 2;Data Engineering;$49,64;5,50%;$47,06;$2,59;5,50%
2025-02-17;Monday;Week 8;Month 2;Platform / Cloud Operations;$49,99;6,00%;$47,16;$2,83;6,00%
2025-02-17;Monday;Week 8;Month 2;Product Engineering;$1,44;5,00%;$1,37;$0,07;5,00%
2025-02-18;Tuesday;Week 8;Month 2;AI Engineering;$19,92;7,00%;$18,62;$1,30;7,00%
2025-02-18;Tuesday;Week 8;Month 2;Business Analytics;$41,86;4,00%;$40,25;$1,61;4,00%
2025-02-18;Tuesday;Week 8;Month 2;Data Engineering;$2,07;5,50%;$1,96;$0,11;5,50%
2025-02-18;Tuesday;Week 8;Month 2;Platform / Cloud Operations;$1,70;6,00%;$1,60;$0,10;6,00%
2025-02-18;Tuesday;Week 8;Month 2;Product Engineering;$0,89;5,00%;$0,84;$0,04;5,00%
2025-02-19;Wednesday;Week 8;Month 2;AI Engineering;$2,39;7,00%;$2,23;$0,16;7,00%
2025-02-19;Wednesday;Week 8;Month 2;Business Analytics;$0,60;4,00%;$0,58;$0,02;4,00%
2025-02-19;Wednesday;Week 8;Month 2;Data Engineering;$11,44;5,50%;$10,84;$0,60;5,50%
2025-02-19;Wednesday;Week 8;Month 2;Platform / Cloud Operations;$17,27;6,00%;$16,30;$0,98;6,00%
2025-02-19;Wednesday;Week 8;Month 2;Product Engineering;$14,55;5,00%;$13,86;$0,69;5,00%
2025-02-20;Thursday;Week 8;Month 2;AI Engineering;$1,82;7,00%;$1,70;$0,12;7,00%
2025-02-20;Thursday;Week 8;Month 2;Business Analytics;$34,94;4,00%;$33,60;$1,34;4,00%
2025-02-20;Thursday;Week 8;Month 2;Data Engineering;$0,68;5,50%;$0,64;$0,04;5,50%
2025-02-20;Thursday;Week 8;Month 2;Platform / Cloud Operations;$7,10;6,00%;$6,70;$0,40;6,00%
2025-02-20;Thursday;Week 8;Month 2;Product Engineering;$13,53;5,00%;$12,88;$0,64;5,00%
2025-02-21;Friday;Week 8;Month 2;AI Engineering;$34,95;7,00%;$32,66;$2,29;7,00%
2025-02-21;Friday;Week 8;Month 2;Business Analytics;$0,97;4,00%;$0,93;$0,04;4,00%
2025-02-21;Friday;Week 8;Month 2;Data Engineering;$1,42;5,50%;$1,34;$0,07;5,50%
2025-02-21;Friday;Week 8;Month 2;Platform / Cloud Operations;$0,21;6,00%;$0,20;$0,01;6,00%
2025-02-21;Friday;Week 8;Month 2;Product Engineering;$0,16;5,00%;$0,15;$0,01;5,00%
2025-02-22;Saturday;Week 8;Month 2;AI Engineering;$0,67;7,00%;$0,62;$0,04;7,00%
2025-02-22;Saturday;Week 8;Month 2;Business Analytics;$28,18;4,00%;$27,10;$1,08;4,00%
2025-02-22;Saturday;Week 8;Month 2;Data Engineering;$6,39;5,50%;$6,05;$0,33;5,50%
2025-02-22;Saturday;Week 8;Month 2;Platform / Cloud Operations;$0,29;6,00%;$0,27;$0,02;6,00%
2025-02-22;Saturday;Week 8;Month 2;Product Engineering;$18,74;5,00%;$17,85;$0,89;5,00%
2025-02-23;Sunday;Week 8;Month 2;AI Engineering;$38,32;7,00%;$35,81;$2,51;7,00%
2025-02-23;Sunday;Week 8;Month 2;Business Analytics;$1,82;4,00%;$1,75;$0,07;4,00%
2025-02-23;Sunday;Week 8;Month 2;Data Engineering;$45,63;5,50%;$43,25;$2,38;5,50%
2025-02-23;Sunday;Week 8;Month 2;Platform / Cloud Operations;$13,05;6,00%;$12,31;$0,74;6,00%
2025-02-23;Sunday;Week 8;Month 2;Product Engineering;$0,59;5,00%;$0,56;$0,03;5,00%
2025-02-24;Monday;Week 9;Month 3;AI Engineering;$1,13;7,00%;$1,06;$0,07;7,00%
2025-02-24;Monday;Week 9;Month 3;Business Analytics;$1,69;4,00%;$1,62;$0,06;4,00%
2025-02-24;Monday;Week 9;Month 3;Data Engineering;$3,39;5,50%;$3,21;$0,18;5,50%
2025-02-24;Monday;Week 9;Month 3;Platform / Cloud Operations;$1,71;6,00%;$1,61;$0,10;6,00%
2025-02-24;Monday;Week 9;Month 3;Product Engineering;$15,35;5,00%;$14,62;$0,73;5,00%
2025-02-25;Tuesday;Week 9;Month 3;AI Engineering;$0,84;7,00%;$0,79;$0,06;7,00%
2025-02-25;Tuesday;Week 9;Month 3;Business Analytics;$48,34;4,00%;$46,48;$1,86;4,00%
2025-02-25;Tuesday;Week 9;Month 3;Data Engineering;$6,00;5,50%;$5,68;$0,31;5,50%
2025-02-25;Tuesday;Week 9;Month 3;Platform / Cloud Operations;$20,82;6,00%;$19,64;$1,18;6,00%
2025-02-25;Tuesday;Week 9;Month 3;Product Engineering;$46,70;5,00%;$44,48;$2,22;5,00%
2025-02-26;Wednesday;Week 9;Month 3;AI Engineering;$6,76;6,50%;$6,34;$0,41;6,50%
2025-02-26;Wednesday;Week 9;Month 3;Business Analytics;$0,02;3,50%;$0,02;$0,00;3,50%
2025-02-26;Wednesday;Week 9;Month 3;Data Engineering;$11,48;5,00%;$10,93;$0,55;5,00%
2025-02-26;Wednesday;Week 9;Month 3;Platform / Cloud Operations;$1,01;5,50%;$0,96;$0,05;5,50%
2025-02-26;Wednesday;Week 9;Month 3;Product Engineering;$1,09;4,50%;$1,05;$0,05;4,50%
2025-02-27;Thursday;Week 9;Month 3;AI Engineering;$0,04;6,50%;$0,03;$0,00;6,50%
2025-02-27;Thursday;Week 9;Month 3;Business Analytics;$0,48;3,50%;$0,47;$0,02;3,50%
2025-02-27;Thursday;Week 9;Month 3;Data Engineering;$3,44;5,00%;$3,27;$0,16;5,00%
2025-02-27;Thursday;Week 9;Month 3;Platform / Cloud Operations;$4,72;5,50%;$4,47;$0,25;5,50%
2025-02-27;Thursday;Week 9;Month 3;Product Engineering;$21,99;4,50%;$21,04;$0,95;4,50%
2025-02-28;Friday;Week 9;Month 3;AI Engineering;$0,33;6,50%;$0,31;$0,02;6,50%
2025-02-28;Friday;Week 9;Month 3;Business Analytics;$0,25;3,50%;$0,25;$0,01;3,50%
2025-02-28;Friday;Week 9;Month 3;Data Engineering;$43,27;5,00%;$41,21;$2,06;5,00%
2025-02-28;Friday;Week 9;Month 3;Platform / Cloud Operations;$0,03;5,50%;$0,03;$0,00;5,50%
2025-02-28;Friday;Week 9;Month 3;Product Engineering;$3,52;4,50%;$3,37;$0,15;4,50%
2025-03-01;Saturday;Week 9;Month 3;AI Engineering;$5,81;6,50%;$5,46;$0,35;6,50%
2025-03-01;Saturday;Week 9;Month 3;Business Analytics;$0,04;3,50%;$0,04;$0,00;3,50%
2025-03-01;Saturday;Week 9;Month 3;Data Engineering;$3,58;5,00%;$3,41;$0,17;5,00%
2025-03-01;Saturday;Week 9;Month 3;Platform / Cloud Operations;$4,62;5,50%;$4,38;$0,24;5,50%
2025-03-01;Saturday;Week 9;Month 3;Product Engineering;$0,42;4,50%;$0,40;$0,02;4,50%
2025-03-02;Sunday;Week 9;Month 3;AI Engineering;$59,16;6,50%;$55,55;$3,61;6,50%
2025-03-02;Sunday;Week 9;Month 3;Business Analytics;$3,28;3,50%;$3,17;$0,11;3,50%
2025-03-02;Sunday;Week 9;Month 3;Data Engineering;$43,89;5,00%;$41,80;$2,09;5,00%
2025-03-02;Sunday;Week 9;Month 3;Platform / Cloud Operations;$6,95;5,50%;$6,59;$0,36;5,50%
2025-03-02;Sunday;Week 9;Month 3;Product Engineering;$3,63;4,50%;$3,47;$0,16;4,50%
2025-03-03;Monday;Week 10;Month 3;AI Engineering;$5,82;6,50%;$5,47;$0,36;6,50%
2025-03-03;Monday;Week 10;Month 3;Business Analytics;$5,39;3,50%;$5,21;$0,18;3,50%
2025-03-03;Monday;Week 10;Month 3;Data Engineering;$1,57;5,00%;$1,50;$0,07;5,00%
2025-03-03;Monday;Week 10;Month 3;Platform / Cloud Operations;$0,79;5,50%;$0,75;$0,04;5,50%
2025-03-03;Monday;Week 10;Month 3;Product Engineering;$0,72;4,50%;$0,69;$0,03;4,50%
2025-03-04;Tuesday;Week 10;Month 3;AI Engineering;$37,23;6,50%;$34,96;$2,27;6,50%
2025-03-04;Tuesday;Week 10;Month 3;Business Analytics;$6,06;3,50%;$5,86;$0,20;3,50%
2025-03-04;Tuesday;Week 10;Month 3;Data Engineering;$2,06;5,00%;$1,96;$0,10;5,00%
2025-03-04;Tuesday;Week 10;Month 3;Platform / Cloud Operations;$6,23;5,50%;$5,91;$0,32;5,50%
2025-03-04;Tuesday;Week 10;Month 3;Product Engineering;$4,29;4,50%;$4,11;$0,18;4,50%
2025-03-05;Wednesday;Week 10;Month 3;AI Engineering;$0,22;6,50%;$0,20;$0,01;6,50%
2025-03-05;Wednesday;Week 10;Month 3;Business Analytics;$18,91;3,50%;$18,27;$0,64;3,50%
2025-03-05;Wednesday;Week 10;Month 3;Data Engineering;$12,80;5,00%;$12,19;$0,61;5,00%
2025-03-05;Wednesday;Week 10;Month 3;Platform / Cloud Operations;$19,46;5,50%;$18,45;$1,01;5,50%
2025-03-05;Wednesday;Week 10;Month 3;Product Engineering;$0,16;4,50%;$0,16;$0,01;4,50%
2025-03-06;Thursday;Week 10;Month 3;AI Engineering;$1,41;6,50%;$1,32;$0,09;6,50%
2025-03-06;Thursday;Week 10;Month 3;Business Analytics;$0,52;3,50%;$0,51;$0,02;3,50%
2025-03-06;Thursday;Week 10;Month 3;Data Engineering;$14,79;5,00%;$14,09;$0,70;5,00%
2025-03-06;Thursday;Week 10;Month 3;Platform / Cloud Operations;$15,94;5,50%;$15,11;$0,83;5,50%
2025-03-06;Thursday;Week 10;Month 3;Product Engineering;$24,14;4,50%;$23,10;$1,04;4,50%
2025-03-07;Friday;Week 10;Month 3;AI Engineering;$50,40;6,50%;$47,33;$3,08;6,50%
2025-03-07;Friday;Week 10;Month 3;Business Analytics;$18,93;3,50%;$18,29;$0,64;3,50%
2025-03-07;Friday;Week 10;Month 3;Data Engineering;$6,01;5,00%;$5,72;$0,29;5,00%
2025-03-07;Friday;Week 10;Month 3;Platform / Cloud Operations;$1,78;5,50%;$1,68;$0,09;5,50%
2025-03-07;Friday;Week 10;Month 3;Product Engineering;$0,04;4,50%;$0,04;$0,00;4,50%
2025-03-08;Saturday;Week 10;Month 3;AI Engineering;$6,09;6,50%;$5,71;$0,37;6,50%
2025-03-08;Saturday;Week 10;Month 3;Business Analytics;$1,19;3,50%;$1,15;$0,04;3,50%
2025-03-08;Saturday;Week 10;Month 3;Data Engineering;$1,71;5,00%;$1,63;$0,08;5,00%
2025-03-08;Saturday;Week 10;Month 3;Platform / Cloud Operations;$0,66;5,50%;$0,63;$0,03;5,50%
2025-03-08;Saturday;Week 10;Month 3;Product Engineering;$18,06;4,50%;$17,29;$0,78;4,50%
2025-03-09;Sunday;Week 10;Month 3;AI Engineering;$1,01;6,50%;$0,95;$0,06;6,50%
2025-03-09;Sunday;Week 10;Month 3;Business Analytics;$4,23;3,50%;$4,08;$0,14;3,50%
2025-03-09;Sunday;Week 10;Month 3;Data Engineering;$0,83;5,00%;$0,79;$0,04;5,00%
2025-03-09;Sunday;Week 10;Month 3;Platform / Cloud Operations;$4,25;5,50%;$4,03;$0,22;5,50%
2025-03-09;Sunday;Week 10;Month 3;Product Engineering;$0,65;4,50%;$0,62;$0,03;4,50%
2025-03-10;Monday;Week 11;Month 3;AI Engineering;$3,33;6,50%;$3,13;$0,20;6,50%
2025-03-10;Monday;Week 11;Month 3;Business Analytics;$34,31;3,50%;$33,15;$1,16;3,50%
2025-03-10;Monday;Week 11;Month 3;Data Engineering;$47,80;5,00%;$45,52;$2,28;5,00%
2025-03-10;Monday;Week 11;Month 3;Platform / Cloud Operations;$20,19;5,50%;$19,13;$1,05;5,50%
2025-03-10;Monday;Week 11;Month 3;Product Engineering;$53,12;4,50%;$50,84;$2,29;4,50%
2025-03-11;Tuesday;Week 11;Month 3;AI Engineering;$0,03;6,50%;$0,03;$0,00;6,50%
2025-03-11;Tuesday;Week 11;Month 3;Business Analytics;$4,96;3,50%;$4,79;$0,17;3,50%
2025-03-11;Tuesday;Week 11;Month 3;Data Engineering;$4,41;5,00%;$4,20;$0,21;5,00%
2025-03-11;Tuesday;Week 11;Month 3;Platform / Cloud Operations;$0,04;5,50%;$0,04;$0,00;5,50%
2025-03-11;Tuesday;Week 11;Month 3;Product Engineering;$13,71;4,50%;$13,12;$0,59;4,50%
2025-03-12;Wednesday;Week 11;Month 3;AI Engineering;$6,27;6,50%;$5,89;$0,38;6,50%
2025-03-12;Wednesday;Week 11;Month 3;Business Analytics;$5,26;3,50%;$5,08;$0,18;3,50%
2025-03-12;Wednesday;Week 11;Month 3;Data Engineering;$17,38;5,00%;$16,55;$0,83;5,00%
2025-03-12;Wednesday;Week 11;Month 3;Platform / Cloud Operations;$26,99;5,50%;$25,58;$1,41;5,50%
2025-03-12;Wednesday;Week 11;Month 3;Product Engineering;$48,33;4,50%;$46,25;$2,08;4,50%
2025-03-13;Thursday;Week 11;Month 3;AI Engineering;$47,02;6,50%;$44,15;$2,87;6,50%
2025-03-13;Thursday;Week 11;Month 3;Business Analytics;$0,75;3,50%;$0,72;$0,03;3,50%
2025-03-13;Thursday;Week 11;Month 3;Data Engineering;$0,66;5,00%;$0,63;$0,03;5,00%
2025-03-13;Thursday;Week 11;Month 3;Platform / Cloud Operations;$37,83;5,50%;$35,86;$1,97;5,50%
2025-03-13;Thursday;Week 11;Month 3;Product Engineering;$27,14;4,50%;$25,97;$1,17;4,50%
2025-03-14;Friday;Week 11;Month 3;AI Engineering;$18,56;6,50%;$17,43;$1,13;6,50%
2025-03-14;Friday;Week 11;Month 3;Business Analytics;$8,07;3,50%;$7,79;$0,27;3,50%
2025-03-14;Friday;Week 11;Month 3;Data Engineering;$15,85;5,00%;$15,09;$0,75;5,00%
2025-03-14;Friday;Week 11;Month 3;Platform / Cloud Operations;$0,56;5,50%;$0,53;$0,03;5,50%
2025-03-14;Friday;Week 11;Month 3;Product Engineering;$19,88;4,50%;$19,03;$0,86;4,50%
2025-03-15;Saturday;Week 11;Month 3;AI Engineering;$19,30;6,50%;$18,12;$1,18;6,50%
2025-03-15;Saturday;Week 11;Month 3;Business Analytics;$15,32;3,50%;$14,81;$0,52;3,50%
2025-03-15;Saturday;Week 11;Month 3;Data Engineering;$52,17;5,00%;$49,68;$2,48;5,00%
2025-03-15;Saturday;Week 11;Month 3;Platform / Cloud Operations;$0,77;5,50%;$0,73;$0,04;5,50%
2025-03-15;Saturday;Week 11;Month 3;Product Engineering;$1,90;4,50%;$1,82;$0,08;4,50%
2025-03-16;Sunday;Week 11;Month 3;AI Engineering;$55,16;6,50%;$51,80;$3,37;6,50%
2025-03-16;Sunday;Week 11;Month 3;Business Analytics;$16,39;3,50%;$15,84;$0,55;3,50%
2025-03-16;Sunday;Week 11;Month 3;Data Engineering;$0,21;5,00%;$0,20;$0,01;5,00%
2025-03-16;Sunday;Week 11;Month 3;Platform / Cloud Operations;$1,43;5,50%;$1,36;$0,07;5,50%
2025-03-16;Sunday;Week 11;Month 3;Product Engineering;$12,64;4,50%;$12,10;$0,54;4,50%
2025-03-17;Monday;Week 12;Month 3;AI Engineering;$0,59;6,50%;$0,55;$0,04;6,50%
2025-03-17;Monday;Week 12;Month 3;Business Analytics;$1,43;3,50%;$1,38;$0,05;3,50%
2025-03-17;Monday;Week 12;Month 3;Data Engineering;$9,00;5,00%;$8,58;$0,43;5,00%
2025-03-17;Monday;Week 12;Month 3;Platform / Cloud Operations;$1,28;5,50%;$1,21;$0,07;5,50%
2025-03-17;Monday;Week 12;Month 3;Product Engineering;$26,37;4,50%;$25,24;$1,14;4,50%
2025-03-18;Tuesday;Week 12;Month 3;AI Engineering;$31,79;6,50%;$29,85;$1,94;6,50%
2025-03-18;Tuesday;Week 12;Month 3;Business Analytics;$50,88;3,50%;$49,16;$1,72;3,50%
2025-03-18;Tuesday;Week 12;Month 3;Data Engineering;$10,65;5,00%;$10,14;$0,51;5,00%
2025-03-18;Tuesday;Week 12;Month 3;Platform / Cloud Operations;$15,07;5,50%;$14,28;$0,79;5,50%
2025-03-18;Tuesday;Week 12;Month 3;Product Engineering;$2,52;4,50%;$2,41;$0,11;4,50%
2025-03-19;Wednesday;Week 12;Month 3;AI Engineering;$52,73;6,50%;$49,51;$3,22;6,50%
2025-03-19;Wednesday;Week 12;Month 3;Business Analytics;$1,37;3,50%;$1,32;$0,05;3,50%
2025-03-19;Wednesday;Week 12;Month 3;Data Engineering;$0,32;5,00%;$0,30;$0,02;5,00%
2025-03-19;Wednesday;Week 12;Month 3;Platform / Cloud Operations;$16,56;5,50%;$15,70;$0,86;5,50%
2025-03-19;Wednesday;Week 12;Month 3;Product Engineering;$39,60;4,50%;$37,89;$1,71;4,50%
2025-03-20;Thursday;Week 12;Month 3;AI Engineering;$32,61;6,50%;$30,62;$1,99;6,50%
2025-03-20;Thursday;Week 12;Month 3;Business Analytics;$1,20;3,50%;$1,16;$0,04;3,50%
2025-03-20;Thursday;Week 12;Month 3;Data Engineering;$25,47;5,00%;$24,26;$1,21;5,00%
2025-03-20;Thursday;Week 12;Month 3;Platform / Cloud Operations;$11,43;5,50%;$10,84;$0,60;5,50%
2025-03-20;Thursday;Week 12;Month 3;Product Engineering;$12,33;4,50%;$11,80;$0,53;4,50%
2025-03-21;Friday;Week 12;Month 3;AI Engineering;$0,66;6,50%;$0,62;$0,04;6,50%
2025-03-21;Friday;Week 12;Month 3;Business Analytics;$2,27;3,50%;$2,20;$0,08;3,50%
2025-03-21;Friday;Week 12;Month 3;Data Engineering;$1,41;5,00%;$1,34;$0,07;5,00%
2025-03-21;Friday;Week 12;Month 3;Platform / Cloud Operations;$0,90;5,50%;$0,85;$0,05;5,50%
2025-03-21;Friday;Week 12;Month 3;Product Engineering;$7,35;4,50%;$7,03;$0,32;4,50%
2025-03-22;Saturday;Week 12;Month 3;AI Engineering;$4,88;6,50%;$4,59;$0,30;6,50%
2025-03-22;Saturday;Week 12;Month 3;Business Analytics;$22,16;3,50%;$21,41;$0,75;3,50%
2025-03-22;Saturday;Week 12;Month 3;Data Engineering;$1,36;5,00%;$1,29;$0,06;5,00%
2025-03-22;Saturday;Week 12;Month 3;Platform / Cloud Operations;$3,70;5,50%;$3,51;$0,19;5,50%
2025-03-22;Saturday;Week 12;Month 3;Product Engineering;$39,69;4,50%;$37,98;$1,71;4,50%
2025-03-23;Sunday;Week 12;Month 3;AI Engineering;$12,31;6,50%;$11,55;$0,75;6,50%
2025-03-23;Sunday;Week 12;Month 3;Business Analytics;$11,24;3,50%;$10,86;$0,38;3,50%
2025-03-23;Sunday;Week 12;Month 3;Data Engineering;$0,41;5,00%;$0,39;$0,02;5,00%
2025-03-23;Sunday;Week 12;Month 3;Platform / Cloud Operations;$0,15;5,50%;$0,14;$0,01;5,50%
2025-03-23;Sunday;Week 12;Month 3;Product Engineering;$12,52;4,50%;$11,98;$0,54;4,50%
