Week;Month;Product;Division;Actual Cost ($);Allocated Budget ($);Variance ($);Variance %
Week 1;Month 1;AI Assistant;AI Engineering;$354,70;$318,11;$36,58;11,5%
Week 1;Month 1;AI Assistant;Business Analytics;$485,59;$443,46;$42,13;9,5%
Week 1;Month 1;AI Assistant;Data Engineering;$472,24;$427,37;$44,87;10,5%
Week 1;Month 1;AI Assistant;Platform / Cloud Operations;$144,01;$129,74;$14,27;11,0%
Week 1;Month 1;AI Assistant;Product Engineering;$458,21;$416,55;$41,66;10,0%
Week 1;Month 1;Analytics Platform;AI Engineering;$233,92;$218,61;$15,30;7,0%
Week 1;Month 1;Analytics Platform;Business Analytics;$342,28;$325,98;$16,30;5,0%
Week 1;Month 1;Analytics Platform;Data Engineering;$187,05;$176,46;$10,59;6,0%
Week 1;Month 1;Analytics Platform;Platform / Cloud Operations;$344,12;$323,12;$21,00;6,5%
Week 1;Month 1;Analytics Platform;Product Engineering;$281,28;$266,61;$14,66;5,5%
Week 1;Month 1;Customer App;AI Engineering;$304,84;$288,95;$15,89;5,5%
Week 1;Month 1;Customer App;Business Analytics;$261,77;$252,92;$8,85;3,5%
Week 1;Month 1;Customer App;Data Engineering;$330,12;$315,90;$14,22;4,5%
Week 1;Month 1;Customer App;Platform / Cloud Operations;$526,87;$501,78;$25,09;5,0%
Week 1;Month 1;Customer App;Product Engineering;$224,35;$215,72;$8,63;4,0%
Week 1;Month 1;Innovation Lab Projects;AI Engineering;$79,06;$69,66;$9,40;13,5%
Week 1;Month 1;Innovation Lab Projects;Business Analytics;$375,69;$336,94;$38,75;11,5%
Week 1;Month 1;Innovation Lab Projects;Data Engineering;$450,89;$400,79;$50,10;12,5%
Week 1;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$318,63;$281,97;$36,66;13,0%
Week 1;Month 1;Innovation Lab Projects;Product Engineering;$192,99;$172,31;$20,68;12,0%
Week 1;Month 1;Internal Data Platform;AI Engineering;$267,77;$246,79;$20,98;8,5%
Week 1;Month 1;Internal Data Platform;Business Analytics;$238,84;$224,27;$14,58;6,5%
Week 1;Month 1;Internal Data Platform;Data Engineering;$773,63;$719,66;$53,97;7,5%
Week 1;Month 1;Internal Data Platform;Platform / Cloud Operations;$270,54;$250,50;$20,04;8,0%
Week 1;Month 1;Internal Data Platform;Product Engineering;$192,46;$179,86;$12,59;7,0%
Week 2;Month 1;AI Assistant;AI Engineering;$105,35;$94,49;$10,87;11,5%
Week 2;Month 1;AI Assistant;Business Analytics;$338,69;$309,31;$29,38;9,5%
Week 2;Month 1;AI Assistant;Data Engineering;$147,93;$133,87;$14,06;10,5%
Week 2;Month 1;AI Assistant;Platform / Cloud Operations;$357,72;$322,27;$35,45;11,0%
Week 2;Month 1;AI Assistant;Product Engineering;$332,04;$301,85;$30,19;10,0%
Week 2;Month 1;Analytics Platform;AI Engineering;$601,69;$562,33;$39,36;7,0%
Week 2;Month 1;Analytics Platform;Business Analytics;$475,34;$452,70;$22,64;5,0%
Week 2;Month 1;Analytics Platform;Data Engineering;$142,01;$133,97;$8,04;6,0%
Week 2;Month 1;Analytics Platform;Platform / Cloud Operations;$122,86;$115,36;$7,50;6,5%
Week 2;Month 1;Analytics Platform;Product Engineering;$711,72;$674,62;$37,10;5,5%
Week 2;Month 1;Customer App;AI Engineering;$220,35;$208,86;$11,49;5,5%
Week 2;Month 1;Customer App;Business Analytics;$162,06;$156,58;$5,48;3,5%
Week 2;Month 1;Customer App;Data Engineering;$576,52;$551,69;$24,83;4,5%
Week 2;Month 1;Customer App;Platform / Cloud Operations;$483,47;$460,45;$23,02;5,0%
Week 2;Month 1;Customer App;Product Engineering;$177,06;$170,25;$6,81;4,0%
Week 2;Month 1;Innovation Lab Projects;AI Engineering;$143,98;$126,85;$17,12;13,5%
Week 2;Month 1;Innovation Lab Projects;Business Analytics;$157,50;$141,26;$16,24;11,5%
Week 2;Month 1;Innovation Lab Projects;Data Engineering;$492,90;$438,14;$54,77;12,5%
Week 2;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$328,57;$290,77;$37,80;13,0%
Week 2;Month 1;Innovation Lab Projects;Product Engineering;$261,45;$233,44;$28,01;12,0%
Week 2;Month 1;Internal Data Platform;AI Engineering;$65,69;$60,55;$5,15;8,5%
Week 2;Month 1;Internal Data Platform;Business Analytics;$482,60;$453,15;$29,45;6,5%
Week 2;Month 1;Internal Data Platform;Data Engineering;$120,84;$112,41;$8,43;7,5%
Week 2;Month 1;Internal Data Platform;Platform / Cloud Operations;$282,41;$261,49;$20,92;8,0%
Week 2;Month 1;Internal Data Platform;Product Engineering;$390,80;$365,23;$25,57;7,0%
Week 3;Month 1;AI Assistant;AI Engineering;$83,90;$75,25;$8,65;11,5%
Week 3;Month 1;AI Assistant;Business Analytics;$354,07;$323,35;$30,72;9,5%
Week 3;Month 1;AI Assistant;Data Engineering;$102,09;$92,39;$9,70;10,5%
Week 3;Month 1;AI Assistant;Platform / Cloud Operations;$556,56;$501,40;$55,15;11,0%
Week 3;Month 1;AI Assistant;Product Engineering;$310,30;$282,09;$28,21;10,0%
Week 3;Month 1;Analytics Platform;AI Engineering;$191,07;$178,57;$12,50;7,0%
Week 3;Month 1;Analytics Platform;Business Analytics;$589,58;$561,51;$28,08;5,0%
Week 3;Month 1;Analytics Platform;Data Engineering;$298,50;$281,60;$16,90;6,0%
Week 3;Month 1;Analytics Platform;Platform / Cloud Operations;$239,20;$224,60;$14,60;6,5%
Week 3;Month 1;Analytics Platform;Product Engineering;$203,13;$192,54;$10,59;5,5%
Week 3;Month 1;Customer App;AI Engineering;$249,23;$236,24;$12,99;5,5%
Week 3;Month 1;Customer App;Business Analytics;$547,42;$528,90;$18,51;3,5%
Week 3;Month 1;Customer App;Data Engineering;$306,49;$293,29;$13,20;4,5%
Week 3;Month 1;Customer App;Platform / Cloud Operations;$413,29;$393,61;$19,68;5,0%
Week 3;Month 1;Customer App;Product Engineering;$240,07;$230,84;$9,23;4,0%
Week 3;Month 1;Innovation Lab Projects;AI Engineering;$432,00;$380,62;$51,38;13,5%
Week 3;Month 1;Innovation Lab Projects;Business Analytics;$324,42;$290,96;$33,46;11,5%
Week 3;Month 1;Innovation Lab Projects;Data Engineering;$335,60;$298,31;$37,29;12,5%
Week 3;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$678,76;$600,67;$78,09;13,0%
Week 3;Month 1;Innovation Lab Projects;Product Engineering;$432,88;$386,50;$46,38;12,0%
Week 3;Month 1;Internal Data Platform;AI Engineering;$62,00;$57,14;$4,86;8,5%
Week 3;Month 1;Internal Data Platform;Business Analytics;$362,34;$340,22;$22,11;6,5%
Week 3;Month 1;Internal Data Platform;Data Engineering;$276,64;$257,34;$19,30;7,5%
Week 3;Month 1;Internal Data Platform;Platform / Cloud Operations;$407,97;$377,75;$30,22;8,0%
Week 3;Month 1;Internal Data Platform;Product Engineering;$478,37;$447,08;$31,30;7,0%
Week 4;Month 1;AI Assistant;AI Engineering;$249,42;$223,70;$25,73;11,5%
Week 4;Month 1;AI Assistant;Business Analytics;$461,26;$421,24;$40,02;9,5%
Week 4;Month 1;AI Assistant;Data Engineering;$468,30;$423,80;$44,50;10,5%
Week 4;Month 1;AI Assistant;Platform / Cloud Operations;$368,40;$331,89;$36,51;11,0%
Week 4;Month 1;AI Assistant;Product Engineering;$96,45;$87,68;$8,77;10,0%
Week 4;Month 1;Analytics Platform;AI Engineering;$243,15;$227,24;$15,91;7,0%
Week 4;Month 1;Analytics Platform;Business Analytics;$379,58;$361,50;$18,08;5,0%
Week 4;Month 1;Analytics Platform;Data Engineering;$663,34;$625,79;$37,55;6,0%
Week 4;Month 1;Analytics Platform;Platform / Cloud Operations;$425,71;$399,73;$25,98;6,5%
Week 4;Month 1;Analytics Platform;Product Engineering;$268,21;$254,23;$13,98;5,5%
Week 4;Month 1;Customer App;AI Engineering;$112,57;$106,70;$5,87;5,5%
Week 4;Month 1;Customer App;Business Analytics;$357,53;$345,44;$12,09;3,5%
Week 4;Month 1;Customer App;Data Engineering;$187,04;$178,98;$8,05;4,5%
Week 4;Month 1;Customer App;Platform / Cloud Operations;$291,35;$277,48;$13,87;5,0%
Week 4;Month 1;Customer App;Product Engineering;$371,52;$357,23;$14,29;4,0%
Week 4;Month 1;Innovation Lab Projects;AI Engineering;$334,93;$295,09;$39,84;13,5%
Week 4;Month 1;Innovation Lab Projects;Business Analytics;$267,68;$240,07;$27,61;11,5%
Week 4;Month 1;Innovation Lab Projects;Data Engineering;$297,17;$264,15;$33,02;12,5%
Week 4;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$430,17;$380,68;$49,49;13,0%
Week 4;Month 1;Innovation Lab Projects;Product Engineering;$374,28;$334,18;$40,10;12,0%
Week 4;Month 1;Internal Data Platform;AI Engineering;$490,47;$452,04;$38,42;8,5%
Week 4;Month 1;Internal Data Platform;Business Analytics;$393,31;$369,30;$24,00;6,5%
Week 4;Month 1;Internal Data Platform;Data Engineering;$608,55;$566,09;$42,46;7,5%
Week 4;Month 1;Internal Data Platform;Platform / Cloud Operations;$213,79;$197,95;$15,84;8,0%
Week 4;Month 1;Internal Data Platform;Product Engineering;$261,90;$244,77;$17,13;7,0%
Week 5;Month 2;AI Assistant;AI Engineering;$527,08;$474,84;$52,23;11,0%
Week 5;Month 2;AI Assistant;Business Analytics;$147,09;$134,94;$12,14;9,0%
Week 5;Month 2;AI Assistant;Data Engineering;$261,80;$238,00;$23,80;10,0%
Week 5;Month 2;AI Assistant;Platform / Cloud Operations;$269,43;$243,83;$25,60;10,5%
Week 5;Month 2;AI Assistant;Product Engineering;$353,45;$322,78;$30,66;9,5%
Week 5;Month 2;Analytics Platform;AI Engineering;$309,15;$290,28;$18,87;6,5%
Week 5;Month 2;Analytics Platform;Business Analytics;$376,45;$360,24;$16,21;4,5%
Week 5;Month 2;Analytics Platform;Data Engineering;$286,38;$271,45;$14,93;5,5%
Week 5;Month 2;Analytics Platform;Platform / Cloud Operations;$331,65;$312,88;$18,77;6,0%
Week 5;Month 2;Analytics Platform;Product Engineering;$172,27;$164,06;$8,20;5,0%
Week 5;Month 2;Customer App;AI Engineering;$190,75;$181,67;$9,08;5,0%
Week 5;Month 2;Customer App;Business Analytics;$179,48;$174,25;$5,23;3,0%
Week 5;Month 2;Customer App;Data Engineering;$536,70;$516,06;$20,64;4,0%
Week 5;Month 2;Customer App;Platform / Cloud Operations;$781,22;$747,58;$33,64;4,5%
Week 5;Month 2;Customer App;Product Engineering;$496,31;$479,53;$16,78;3,5%
Week 5;Month 2;Innovation Lab Projects;AI Engineering;$144,59;$127,96;$16,63;13,0%
Week 5;Month 2;Innovation Lab Projects;Business Analytics;$66,48;$59,89;$6,59;11,0%
Week 5;Month 2;Innovation Lab Projects;Data Engineering;$533,23;$476,10;$57,13;12,0%
Week 5;Month 2;Innovation Lab Projects;Platform / Cloud Operations;$155,22;$137,97;$17,25;12,5%
Week 5;Month 2;Innovation Lab Projects;Product Engineering;$445,70;$399,73;$45,97;11,5%
Week 5;Month 2;Internal Data Platform;AI Engineering;$413,04;$382,44;$30,60;8,0%
Week 5;Month 2;Internal Data Platform;Business Analytics;$368,33;$347,48;$20,85;6,0%
Week 5;Month 2;Internal Data Platform;Data Engineering;$375,02;$350,49;$24,53;7,0%
Week 5;Month 2;Internal Data Platform;Platform / Cloud Operations;$312,40;$290,60;$21,80;7,5%
Week 5;Month 2;Internal Data Platform;Product Engineering;$373,26;$350,48;$22,78;6,5%
Week 6;Month 2;AI Assistant;AI Engineering;$500,08;$450,52;$49,56;11,0%
Week 6;Month 2;AI Assistant;Business Analytics;$586,10;$537,71;$48,39;9,0%
Week 6;Month 2;AI Assistant;Data Engineering;$184,95;$168,13;$16,81;10,0%
Week 6;Month 2;AI Assistant;Platform / Cloud Operations;$356,49;$322,61;$33,87;10,5%
Week 6;Month 2;AI Assistant;Product Engineering;$495,57;$452,57;$42,99;9,5%
Week 6;Month 2;Analytics Platform;AI Engineering;$278,81;$261,80;$17,02;6,5%
Week 6;Month 2;Analytics Platform;Business Analytics;$309,99;$296,64;$13,35;4,5%
Week 6;Month 2;Analytics Platform;Data Engineering;$163,24;$154,73;$8,51;5,5%
Week 6;Month 2;Analytics Platform;Platform / Cloud Operations;$250,16;$236,00;$14,16;6,0%
Week 6;Month 2;Analytics Platform;Product Engineering;$213,91;$203,73;$10,19;5,0%
Week 6;Month 2;Customer App;AI Engineering;$283,87;$270,36;$13,52;5,0%
Week 6;Month 2;Customer App;Business Analytics;$62,40;$60,58;$1,82;3,0%
Week 6;Month 2;Customer App;Data Engineering;$327,30;$314,71;$12,59;4,0%
Week 6;Month 2;Customer App;Platform / Cloud Operations;$73,75;$70,57;$3,18;4,5%
Week 6;Month 2;Customer App;Product Engineering;$253,69;$245,11;$8,58;3,5%
Week 6;Month 2;Innovation Lab Projects;AI Engineering;$310,73;$274,98;$35,75;13,0%
Week 6;Month 2;Innovation Lab Projects;Business Analytics;$437,57;$394,21;$43,36;11,0%
Week 6;Month 2;Innovation Lab Projects;Data Engineering;$72,34;$64,59;$7,75;12,0%
Week 6;Month 2;Innovation Lab Projects;Platform / Cloud Operations;$49,48;$43,98;$5,50;12,5%
Week 6;Month 2;Innovation Lab Projects;Product Engineering;$372,05;$333,68;$38,37;11,5%
Week 6;Month 2;Internal Data Platform;AI Engineering;$205,65;$190,42;$15,23;8,0%
Week 6;Month 2;Internal Data Platform;Business Analytics;$496,64;$468,53;$28,11;6,0%
Week 6;Month 2;Internal Data Platform;Data Engineering;$352,03;$329,00;$23,03;7,0%
Week 6;Month 2;Internal Data Platform;Platform / Cloud Operations;$272,68;$253,66;$19,02;7,5%
Week 6;Month 2;Internal Data Platform;Product Engineering;$579,46;$544,10;$35,37;6,5%
Week 7;Month 2;AI Assistant;AI Engineering;$403,62;$363,62;$40,00;11,0%
Week 7;Month 2;AI Assistant;Business Analytics;$313,72;$287,82;$25,90;9,0%
Week 7;Month 2;AI Assistant;Data Engineering;$336,40;$305,82;$30,58;10,0%
Week 7;Month 2;AI Assistant;Platform / Cloud Operations;$276,16;$249,92;$26,24;10,5%
Week 7;Month 2;AI Assistant;Product Engineering;$63,49;$57,98;$5,51;9,5%
Week 7;Month 2;Analytics Platform;AI Engineering;$213,88;$200,83;$13,05;6,5%
Week 7;Month 2;Analytics Platform;Business Analytics;$367,43;$351,60;$15,82;4,5%
Week 7;Month 2;Analytics Platform;Data Engineering;$289,49;$274,40;$15,09;5,5%
Week 7;Month 2;Analytics Platform;Platform / Cloud Operations;$428,23;$403,99;$24,24;6,0%
Week 7;Month 2;Analytics Platform;Product Engineering;$208,20;$198,29;$9,91;5,0%
Week 7;Month 2;Customer App;AI Engineering;$265,85;$253,19;$12,66;5,0%
Week 7;Month 2;Customer App;Business Analytics;$376,06;$365,11;$10,95;3,0%
Week 7;Month 2;Customer App;Data Engineering;$309,91;$297,99;$11,92;4,0%
Week 7;Month 2;Customer App;Platform / Cloud Operations;$557,15;$533,16;$23,99;4,5%
Week 7;Month 2;Customer App;Product Engineering;$564,29;$545,21;$19,08;3,5%
Week 7;Month 2;Innovation Lab Projects;AI Engineering;$429,22;$379,84;$49,38;13,0%
Week 7;Month 2;Innovation Lab Projects;Business Analytics;$358,51;$322,98;$35,53;11,0%
Week 7;Month 2;Innovation Lab Projects;Data Engineering;$385,86;$344,52;$41,34;12,0%
Week 7;Month 2;Innovation Lab Projects;Platform / Cloud Operations;$265,23;$235,76;$29,47;12,5%
Week 7;Month 2;Innovation Lab Projects;Product Engineering;$411,56;$369,11;$42,45;11,5%
Week 7;Month 2;Internal Data Platform;AI Engineering;$377,60;$349,63;$27,97;8,0%
Week 7;Month 2;Internal Data Platform;Business Analytics;$131,63;$124,18;$7,45;6,0%
Week 7;Month 2;Internal Data Platform;Data Engineering;$143,60;$134,21;$9,39;7,0%
Week 7;Month 2;Internal Data Platform;Platform / Cloud Operations;$358,95;$333,90;$25,04;7,5%
Week 7;Month 2;Internal Data Platform;Product Engineering;$328,94;$308,86;$20,08;6,5%
Week 8;Month 2;AI Assistant;AI Engineering;$349,05;$314,46;$34,59;11,0%
Week 8;Month 2;AI Assistant;Business Analytics;$346,00;$317,44;$28,57;9,0%
Week 8;Month 2;AI Assistant;Data Engineering;$306,19;$278,35;$27,84;10,0%
Week 8;Month 2;AI Assistant;Platform / Cloud Operations;$373,25;$337,79;$35,47;10,5%
Week 8;Month 2;AI Assistant;Product Engineering;$65,80;$60,09;$5,71;9,5%
Week 8;Month 2;Analytics Platform;AI Engineering;$276,81;$259,91;$16,89;6,5%
Week 8;Month 2;Analytics Platform;Business Analytics;$278,04;$266,06;$11,97;4,5%
Week 8;Month 2;Analytics Platform;Data Engineering;$253,09;$239,90;$13,19;5,5%
Week 8;Month 2;Analytics Platform;Platform / Cloud Operations;$413,42;$390,02;$23,40;6,0%
Week 8;Month 2;Analytics Platform;Product Engineering;$110,11;$104,87;$5,24;5,0%
Week 8;Month 2;Customer App;AI Engineering;$312,85;$297,95;$14,90;5,0%
Week 8;Month 2;Customer App;Business Analytics;$330,82;$321,19;$9,64;3,0%
Week 8;Month 2;Customer App;Data Engineering;$270,97;$260,55;$10,42;4,0%
Week 8;Month 2;Customer App;Platform / Cloud Operations;$145,83;$139,55;$6,28;4,5%
Week 8;Month 2;Customer App;Product Engineering;$131,07;$126,64;$4,43;3,5%
Week 8;Month 2;Innovation Lab Projects;AI Engineering;$438,31;$387,88;$50,42;13,0%
Week 8;Month 2;Innovation Lab Projects;Business Analytics;$455,46;$410,33;$45,14;11,0%
Week 8;Month 2;Innovation Lab Projects;Data Engineering;$404,51;$361,17;$43,34;12,0%
Week 8;Month 2;Innovation Lab Projects;Platform / Cloud Operations;$369,33;$328,29;$41,04;12,5%
Week 8;Month 2;Innovation Lab Projects;Product Engineering;$429,72;$385,40;$44,32;11,5%
Week 8;Month 2;Internal Data Platform;AI Engineering;$481,43;$445,77;$35,66;8,0%
Week 8;Month 2;Internal Data Platform;Business Analytics;$463,63;$437,38;$26,24;6,0%
Week 8;Month 2;Internal Data Platform;Data Engineering;$363,78;$339,98;$23,80;7,0%
Week 8;Month 2;Internal Data Platform;Platform / Cloud Operations;$368,91;$343,17;$25,74;7,5%
Week 8;Month 2;Internal Data Platform;Product Engineering;$109,27;$102,60;$6,67;6,5%
Week 9;Month 3;AI Assistant;AI Engineering;$152,83;$136,45;$16,37;12,0%
Week 9;Month 3;AI Assistant;Business Analytics;$375,92;$341,74;$34,17;10,0%
Week 9;Month 3;AI Assistant;Data Engineering;$276,77;$249,34;$27,43;11,0%
Week 9;Month 3;AI Assistant;Platform / Cloud Operations;$110,88;$99,45;$11,44;11,5%
Week 9;Month 3;AI Assistant;Product Engineering;$304,16;$275,26;$28,90;10,5%
Week 9;Month 3;Analytics Platform;AI Engineering;$172,75;$160,70;$12,05;7,5%
Week 9;Month 3;Analytics Platform;Business Analytics;$346,20;$328,15;$18,05;5,5%
Week 9;Month 3;Analytics Platform;Data Engineering;$319,45;$299,95;$19,50;6,5%
Week 9;Month 3;Analytics Platform;Platform / Cloud Operations;$424,77;$396,98;$27,79;7,0%
Week 9;Month 3;Analytics Platform;Product Engineering;$240,52;$226,91;$13,61;6,0%
Week 9;Month 3;Customer App;AI Engineering;$257,59;$243,01;$14,58;6,0%
Week 9;Month 3;Customer App;Business Analytics;$439,41;$422,51;$16,90;4,0%
Week 9;Month 3;Customer App;Data Engineering;$351,33;$334,60;$16,73;5,0%
Week 9;Month 3;Customer App;Platform / Cloud Operations;$466,63;$442,30;$24,33;5,5%
Week 9;Month 3;Customer App;Product Engineering;$284,26;$272,02;$12,24;4,5%
Week 9;Month 3;Innovation Lab Projects;AI Engineering;$134,80;$118,25;$16,55;14,0%
Week 9;Month 3;Innovation Lab Projects;Business Analytics;$538,34;$480,66;$57,68;12,0%
Week 9;Month 3;Innovation Lab Projects;Data Engineering;$474,23;$419,68;$54,56;13,0%
Week 9;Month 3;Innovation Lab Projects;Platform / Cloud Operations;$153,21;$134,99;$18,22;13,5%
Week 9;Month 3;Innovation Lab Projects;Product Engineering;$482,88;$429,22;$53,65;12,5%
Week 9;Month 3;Internal Data Platform;AI Engineering;$297,20;$272,66;$24,54;9,0%
Week 9;Month 3;Internal Data Platform;Business Analytics;$686,71;$641,79;$44,93;7,0%
Week 9;Month 3;Internal Data Platform;Data Engineering;$551,65;$510,79;$40,86;8,0%
Week 9;Month 3;Internal Data Platform;Platform / Cloud Operations;$340,58;$313,89;$26,68;8,5%
Week 9;Month 3;Internal Data Platform;Product Engineering;$232,86;$216,62;$16,25;7,5%
Week 10;Month 3;AI Assistant;AI Engineering;$131,93;$117,79;$14,13;12,0%
Week 10;Month 3;AI Assistant;Business Analytics;$442,23;$402,03;$40,20;10,0%
Week 10;Month 3;AI Assistant;Data Engineering;$120,30;$108,38;$11,92;11,0%
Week 10;Month 3;AI Assistant;Platform / Cloud Operations;$268,98;$241,24;$27,74;11,5%
Week 10;Month 3;AI Assistant;Product Engineering;$209,93;$189,99;$19,95;10,5%
Week 10;Month 3;Analytics Platform;AI Engineering;$298,53;$277,70;$20,83;7,5%
Week 10;Month 3;Analytics Platform;Business Analytics;$260,08;$246,53;$13,56;5,5%
Week 10;Month 3;Analytics Platform;Data Engineering;$451,53;$423,97;$27,56;6,5%
Week 10;Month 3;Analytics Platform;Platform / Cloud Operations;$286,20;$267,48;$18,72;7,0%
Week 10;Month 3;Analytics Platform;Product Engineering;$227,50;$214,62;$12,88;6,0%
Week 10;Month 3;Customer App;AI Engineering;$244,79;$230,93;$13,86;6,0%
Week 10;Month 3;Customer App;Business Analytics;$105,82;$101,75;$4,07;4,0%
Week 10;Month 3;Customer App;Data Engineering;$102,87;$97,97;$4,90;5,0%
Week 10;Month 3;Customer App;Platform / Cloud Operations;$355,33;$336,81;$18,52;5,5%
Week 10;Month 3;Customer App;Product Engineering;$250,18;$239,41;$10,77;4,5%
Week 10;Month 3;Innovation Lab Projects;AI Engineering;$271,71;$238,34;$33,37;14,0%
Week 10;Month 3;Innovation Lab Projects;Business Analytics;$213,16;$190,32;$22,84;12,0%
Week 10;Month 3;Innovation Lab Projects;Data Engineering;$532,56;$471,29;$61,27;13,0%
Week 10;Month 3;Innovation Lab Projects;Platform / Cloud Operations;$493,78;$435,05;$58,73;13,5%
Week 10;Month 3;Innovation Lab Projects;Product Engineering;$382,97;$340,42;$42,55;12,5%
Week 10;Month 3;Internal Data Platform;AI Engineering;$364,88;$334,75;$30,13;9,0%
Week 10;Month 3;Internal Data Platform;Business Analytics;$674,02;$629,92;$44,09;7,0%
Week 10;Month 3;Internal Data Platform;Data Engineering;$336,75;$311,80;$24,94;8,0%
Week 10;Month 3;Internal Data Platform;Platform / Cloud Operations;$370,68;$341,64;$29,04;8,5%
Week 10;Month 3;Internal Data Platform;Product Engineering;$364,80;$339,35;$25,45;7,5%
Week 11;Month 3;AI Assistant;AI Engineering;$389,01;$347,33;$41,68;12,0%
Week 11;Month 3;AI Assistant;Business Analytics;$97,93;$89,03;$8,90;10,0%
Week 11;Month 3;AI Assistant;Data Engineering;$359,65;$324,01;$35,64;11,0%
Week 11;Month 3;AI Assistant;Platform / Cloud Operations;$317,65;$284,89;$32,76;11,5%
Week 11;Month 3;AI Assistant;Product Engineering;$430,87;$389,93;$40,94;10,5%
Week 11;Month 3;Analytics Platform;AI Engineering;$338,50;$314,89;$23,62;7,5%
Week 11;Month 3;Analytics Platform;Business Analytics;$528,44;$500,89;$27,55;5,5%
Week 11;Month 3;Analytics Platform;Data Engineering;$270,48;$253,97;$16,51;6,5%
Week 11;Month 3;Analytics Platform;Platform / Cloud Operations;$357,65;$334,25;$23,40;7,0%
Week 11;Month 3;Analytics Platform;Product Engineering;$229,67;$216,67;$13,00;6,0%
Week 11;Month 3;Customer App;AI Engineering;$181,73;$171,45;$10,29;6,0%
Week 11;Month 3;Customer App;Business Analytics;$242,63;$233,30;$9,33;4,0%
Week 11;Month 3;Customer App;Data Engineering;$121,43;$115,65;$5,78;5,0%
Week 11;Month 3;Customer App;Platform / Cloud Operations;$336,50;$318,95;$17,54;5,5%
Week 11;Month 3;Customer App;Product Engineering;$331,52;$317,25;$14,28;4,5%
Week 11;Month 3;Innovation Lab Projects;AI Engineering;$330,89;$290,26;$40,64;14,0%
Week 11;Month 3;Innovation Lab Projects;Business Analytics;$372,55;$332,64;$39,92;12,0%
Week 11;Month 3;Innovation Lab Projects;Data Engineering;$58,58;$51,84;$6,74;13,0%
Week 11;Month 3;Innovation Lab Projects;Platform / Cloud Operations;$227,56;$200,50;$27,07;13,5%
Week 11;Month 3;Innovation Lab Projects;Product Engineering;$239,07;$212,50;$26,56;12,5%
Week 11;Month 3;Internal Data Platform;AI Engineering;$404,63;$371,22;$33,41;9,0%
Week 11;Month 3;Internal Data Platform;Business Analytics;$287,01;$268,24;$18,78;7,0%
Week 11;Month 3;Internal Data Platform;Data Engineering;$480,37;$444,79;$35,58;8,0%
Week 11;Month 3;Internal Data Platform;Platform / Cloud Operations;$648,49;$597,68;$50,80;8,5%
Week 11;Month 3;Internal Data Platform;Product Engineering;$603,67;$561,55;$42,12;7,5%
Week 12;Month 3;AI Assistant;AI Engineering;$323,92;$289,21;$34,71;12,0%
Week 12;Month 3;AI Assistant;Business Analytics;$291,13;$264,67;$26,47;10,0%
Week 12;Month 3;AI Assistant;Data Engineering;$347,03;$312,64;$34,39;11,0%
Week 12;Month 3;AI Assistant;Platform / Cloud Operations;$452,98;$406,26;$46,72;11,5%
Week 12;Month 3;AI Assistant;Product Engineering;$245,84;$222,48;$23,36;10,5%
Week 12;Month 3;Analytics Platform;AI Engineering;$502,68;$467,61;$35,07;7,5%
Week 12;Month 3;Analytics Platform;Business Analytics;$591,39;$560,56;$30,83;5,5%
Week 12;Month 3;Analytics Platform;Data Engineering;$389,27;$365,51;$23,76;6,5%
Week 12;Month 3;Analytics Platform;Platform / Cloud Operations;$54,34;$50,78;$3,55;7,0%
Week 12;Month 3;Analytics Platform;Product Engineering;$447,05;$421,75;$25,30;6,0%
Week 12;Month 3;Customer App;AI Engineering;$54,25;$51,18;$3,07;6,0%
Week 12;Month 3;Customer App;Business Analytics;$393,55;$378,42;$15,14;4,0%
Week 12;Month 3;Customer App;Data Engineering;$200,47;$190,92;$9,55;5,0%
Week 12;Month 3;Customer App;Platform / Cloud Operations;$289,74;$274,63;$15,10;5,5%
Week 12;Month 3;Customer App;Product Engineering;$373,22;$357,14;$16,07;4,5%
Week 12;Month 3;Innovation Lab Projects;AI Engineering;$177,01;$155,28;$21,74;14,0%
Week 12;Month 3;Innovation Lab Projects;Business Analytics;$285,06;$254,51;$30,54;12,0%
Week 12;Month 3;Innovation Lab Projects;Data Engineering;$401,81;$355,58;$46,23;13,0%
Week 12;Month 3;Innovation Lab Projects;Platform / Cloud Operations;$423,19;$372,85;$50,34;13,5%
Week 12;Month 3;Innovation Lab Projects;Product Engineering;$279,50;$248,44;$31,06;12,5%
Week 12;Month 3;Internal Data Platform;AI Engineering;$278,66;$255,65;$23,01;9,0%
Week 12;Month 3;Internal Data Platform;Business Analytics;$225,40;$210,65;$14,75;7,0%
Week 12;Month 3;Internal Data Platform;Data Engineering;$275,13;$254,75;$20,38;8,0%
Week 12;Month 3;Internal Data Platform;Platform / Cloud Operations;$346,79;$319,62;$27,17;8,5%
Week 12;Month 3;Internal Data Platform;Product Engineering;$140,40;$130,60;$9,80;7,5%
